asset,date,close,net_gex_m,iv_rank,swing_bias,source,quality_flags
VXX,2026-04-29,29.02,-4.39,40.9,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-04-30,28.19,-8.08,40.1,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-01,28.40,3.07,33.3,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-04,28.67,5.13,38.9,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-05,28.71,0.74565,32.0,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-06,28.07,-2.74,38.8,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-07,27.90,3.69,32.7,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-08,28.06,7.05,33.5,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-11,28.47,11.95,32.3,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-12,27.78,6.87,40.7,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-13,28.37,7.66,34.8,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-14,27.65,1.43,39.2,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-15,27.87,-3.08,33.4,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-18,27.20,-0.90858,39.7,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-19,27.58,8.09,30.2,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-20,27.00,6.94,36.0,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-21,26.21,1.05,67.2,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-22,26.42,4.30,33.1,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-26,25.64,5.47,26.6,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-27,25.02,1.52,33.5,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-28,24.56,0.47834,22.7,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-05-29,24.14,1.68,24.1,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-01,24.78,7.44,27.3,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-02,24.37,5.89,31.1,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-03,24.31,6.18,31.8,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-04,23.50,-0.04441,29.3,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-05,25.21,5.48,46.6,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-08,24.76,8.03,34.7,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-09,25.17,9.61,44.6,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-10,26.60,25.99,54.1,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-11,25.32,17.49,42.0,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-12,24.20,4.05,33.2,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-15,22.56,4.06,34.4,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-16,22.57,-38.47,20.4,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-17,23.54,-27.30,33.9,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-18,22.80,5.36,35.7,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-22,22.52,-1.28,30.3,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-23,23.87,-6.45,30.0,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-24,23.69,-52.84,30.3,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-25,23.25,-51.33,40.4,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-26,23.56,15.30,46.7,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-29,22.55,9.98,22.8,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-06-30,22.09,-25.61,27.4,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-07-01,22.32,-32.30,23.8,Bearish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-07-02,22.04,3.15,32.6,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-07-06,21.49,3.67,25.7,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-07-07,21.69,6.99,20.8,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-07-08,22.01,38.82,31.9,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-07-09,21.58,32.26,28.6,Bullish,quin_batch_2026-04-29_2026-07-10,
VXX,2026-07-10,21.13,11.81,20.6,Bullish,quin_batch_2026-04-29_2026-07-10,
