asset,date,close,net_gex_m,iv_rank,swing_bias,source,quality_flags
VXX,2025-12-03,31.42,-1.86,10.2,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-04,31.09,-6.29,14.8,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-05,30.72,0.30609,8.6,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-08,31.08,2.08,7.1,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-09,31.24,3.50,6.6,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-10,30.02,-1.17,11.3,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-11,29.48,-7.54,14.0,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-12,29.53,-3.95,9.7,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-15,29.56,-4.64,5.5,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-16,29.53,-6.85,0.8,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-17,29.99,-7.29,5.7,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-18,28.94,-15.47,7.4,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-19,27.86,-5.00,2.0,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-22,26.99,-6.21,0.5,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-23,27.10,-17.19,2.0,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-24,27.06,-13.49,-7.7,Bearish,quin_batch_2025-12-03_2026-02-13,iv_rank_out_of_range
VXX,2025-12-26,26.97,-1.42,10.3,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-29,26.67,-2.07,9.5,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-30,26.28,-6.05,10.6,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2025-12-31,26.47,-4.21,12.8,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-02,26.10,-2.38,11.8,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-05,26.38,-2.76,1.5,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-06,26.02,-0.75661,11.1,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-07,26.44,4.15,12.7,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-08,26.25,4.23,15.0,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-09,25.75,-0.27251,12.8,Bearish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-12,25.84,0.62246,11.2,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-13,26.53,5.78,16.8,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-14,27.13,20.70,21.2,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-15,26.32,12.92,17.0,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-16,26.42,12.08,14.0,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-20,29.38,23.30,29.4,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-21,26.76,10.68,25.1,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-22,26.00,4.52,24.8,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-23,26.53,6.67,17.5,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-26,26.57,9.26,21.1,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-27,26.94,10.70,17.4,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-28,26.87,11.69,26.1,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-29,27.23,12.17,34.1,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-01-30,27.50,8.12,27.9,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-02,26.12,5.96,33.0,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-03,27.27,10.35,29.3,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-04,27.65,11.80,28.6,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-05,29.35,18.00,49.9,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-06,27.62,7.91,22.5,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-09,26.60,7.07,23.0,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-10,27.17,10.64,19.3,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-11,27.12,10.77,26.3,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-12,28.79,20.78,31.1,Bullish,quin_batch_2025-12-03_2026-02-13,
VXX,2026-02-13,29.25,9.56,31.0,Bullish,quin_batch_2025-12-03_2026-02-13,
